date value
2016-11-06 0.802
2016-11-07 0.806
2016-11-08 0.798
2016-11-09 0.808
2016-11-10 0.81
2016-11-13 0.814
2016-11-14 0.817
2016-11-15 0.818
2016-11-16 0.818
2016-11-17 0.816
2016-11-20 0.82
2016-11-21 0.826
2016-11-22 0.823
2016-11-23 0.82
2016-11-24 0.822
2016-11-27 0.818
2016-11-28 0.813
2016-11-29 0.809
2016-11-30 0.812
2016-12-01 0.801
2016-12-04 0.796
2016-12-05 0.8
2016-12-06 0.808
2016-12-07 0.807
2016-12-08 0.804
2016-12-11 0.763
2016-12-12 0.763
2016-12-13 0.76
2016-12-14 0.764
2016-12-15 0.774
2016-12-18 0.774
2016-12-19 0.777
2016-12-20 0.786
2016-12-21 0.79
2016-12-22 0.789
2016-12-25 0.787
2016-12-26 0.788
2016-12-27 0.788
2016-12-28 0.789
2016-12-29 0.795
2016-12-30 0.795
2017-01-02 0.799
2017-01-03 0.803
2017-01-04 0.803
2017-01-05 0.792
2017-01-08 0.794
2017-01-09 0.794
2017-01-10 0.786
2017-01-11 0.781
2017-01-12 0.778
2017-01-15 0.768
2017-01-16 0.772
2017-01-17 0.771
2017-01-18 0.773
2017-01-19 0.778
2017-01-22 0.778
2017-01-23 0.775
2017-01-24 0.779
2017-01-25 0.783
2017-02-02 0.78
2017-02-05 0.785
2017-02-06 0.784
2017-02-07 0.787
2017-02-08 0.789
2017-02-09 0.788
2017-02-12 0.792
2017-02-13 0.792
2017-02-14 0.789
2017-02-15 0.791
2017-02-16 0.788
2017-02-19 0.797
2017-02-20 0.806
2017-02-21 0.806
2017-02-22 0.802
2017-02-23 0.801
2017-02-26 0.798
2017-02-27 0.8
2017-02-28 0.8
2017-03-01 0.797
2017-03-02 0.801
2017-03-05 0.808
2017-03-06 0.813
2017-03-07 0.812
2017-03-08 0.809
2017-03-09 0.811
2017-03-12 0.821
2017-03-13 0.82
2017-03-14 0.821
2017-03-15 0.826
2017-03-16 0.819
2017-03-19 0.822
2017-03-20 0.827
2017-03-21 0.827
2017-03-22 0.831
2017-03-23 0.834
2017-03-26 0.823
2017-03-27 0.823
2017-03-28 0.818
2017-03-29 0.806
2017-03-30 0.809
2017-04-04 0.824
2017-04-05 0.824
2017-04-06 0.831
2017-04-09 0.822
2017-04-10 0.824
2017-04-11 0.819
2017-04-12 0.822
2017-04-13 0.812
2017-04-16 0.805
2017-04-17 0.804
2017-04-18 0.803
2017-04-19 0.805
2017-04-20 0.8
2017-04-23 0.79
2017-04-24 0.794
2017-04-25 0.803
2017-04-26 0.805
2017-04-27 0.805
2017-05-01 0.802
2017-05-02 0.797
2017-05-03 0.793
2017-05-04 0.786
2017-05-07 0.778
2017-05-08 0.781
2017-05-09 0.778
2017-05-10 0.778
2017-05-11 0.784
2017-05-14 0.786
2017-05-15 0.794
2017-05-16 0.793
2017-05-17 0.79
2017-05-18 0.787
2017-05-21 0.788
2017-05-22 0.786
2017-05-23 0.784
2017-05-24 0.79
2017-05-25 0.786
2017-05-30 0.785
2017-05-31 0.783
2017-06-01 0.78
2017-06-04 0.784
2017-06-05 0.789
2017-06-06 0.804
2017-06-07 0.81
2017-06-08 0.819
2017-06-11 0.821
2017-06-12 0.822
2017-06-13 0.813
2017-06-14 0.812
2017-06-15 0.811
2017-06-18 0.818
2017-06-19 0.811
2017-06-20 0.822
2017-06-21 0.811
2017-06-22 0.821
2017-06-25 0.836
2017-06-26 0.834
2017-06-27 0.829
2017-06-28 0.839
2017-06-29 0.837
2017-07-02 0.832
2017-07-03 0.831
2017-07-04 0.837
2017-07-05 0.84
2017-07-06 0.836
2017-07-09 0.828
2017-07-10 0.826
2017-07-11 0.826
2017-07-12 0.819
2017-07-13 0.823
2017-07-16 0.801
2017-07-17 0.803
2017-07-18 0.814
2017-07-19 0.824
2017-07-20 0.822
2017-07-23 0.823
2017-07-24 0.821
2017-07-25 0.815
2017-07-26 0.822
2017-07-27 0.828
2017-07-30 0.836
2017-07-31 0.836
2017-08-01 0.831
2017-08-02 0.828
2017-08-03 0.824
2017-08-06 0.824
2017-08-07 0.828
2017-08-08 0.83
2017-08-09 0.833
2017-08-10 0.825
2017-08-13 0.84
2017-08-14 0.846
2017-08-15 0.851
2017-08-16 0.851
2017-08-17 0.854
2017-08-20 0.855
2017-08-21 0.858
2017-08-22 0.858
2017-08-23 0.855
2017-08-24 0.861
2017-08-27 0.871
2017-08-28 0.875
2017-08-29 0.876
2017-08-30 0.879
2017-08-31 0.879
2017-09-03 0.885
2017-09-04 0.898
2017-09-05 0.896
2017-09-06 0.901
2017-09-07 0.902
2017-09-10 0.905
2017-09-11 0.908
2017-09-12 0.911
2017-09-13 0.91
2017-09-14 0.912
2017-09-17 0.916
2017-09-18 0.916
2017-09-19 0.92
2017-09-20 0.911
2017-09-21 0.906
2017-09-24 0.906
2017-09-25 0.911
2017-09-26 0.919
2017-09-27 0.928
2017-09-28 0.938
2017-10-08 0.948
2017-10-09 0.955
2017-10-10 0.955
2017-10-11 0.957
2017-10-12 0.958
2017-10-15 0.953
2017-10-16 0.957
2017-10-17 0.961
2017-10-18 0.959
2017-10-19 0.965
2017-10-22 0.972
2017-10-23 0.967
2017-10-24 0.98
